description,silhouette,fabric,neckline,sleeve,length,embellishment,color,category
"Elegant Fit and Flare Satin Cocktail Dress with V Neckline, Three Quarter Sleeves, Midi design, Sequins detailing in Royal Navy.",Fit and Flare,Satin,V Neckline,Three Quarter Sleeves,Midi,Sequins,Royal Navy,Cocktail Dress
"Premium Satin Cocktail Dress with Halter, Sleeveless, Mini cut, Embroidered details and elegant Royal Navy finish in Fit and Flare style.",Fit and Flare,Satin,Halter,Sleeveless,Mini,Embroidered,Royal Navy,Cocktail Dress
"Premium Chiffon Wedding Dress with Off Shoulder, Three Quarter Sleeves, Floor Length cut, Feathers details and elegant Royal Navy finish in Empire style.",Empire,Chiffon,Off Shoulder,Three Quarter Sleeves,Floor Length,Feathers,Royal Navy,Wedding Dress
"Navy Blue Chiffon Mermaid dress featuring Sweetheart, Three Quarter Sleeves, and Ruched finish. Perfect as a Cocktail Dress.",Mermaid,Chiffon,Sweetheart,Three Quarter Sleeves,Maxi,Ruched,Navy Blue,Cocktail Dress
"Premium Satin Evening Gown with Round Neckline, Cap Sleeves, Mini cut, Ruched details and elegant Dusty Blue finish in Mermaid style.",Mermaid,Satin,Round Neckline,Cap Sleeves,Mini,Ruched,Dusty Blue,Evening Gown
"Mini Chiffon Bridesmaid Dress with One Shoulder, Puff Sleeves, Feathers bodice and White shade in a Mermaid silhouette.",Mermaid,Chiffon,One Shoulder,Puff Sleeves,Mini,Feathers,White,Bridesmaid Dress
"Mini Tulle Cocktail Dress with Off Shoulder, Three Quarter Sleeves, Pleated bodice and Burgundy shade in a Fit and Flare silhouette.",Fit and Flare,Tulle,Off Shoulder,Three Quarter Sleeves,Mini,Pleated,Burgundy,Cocktail Dress
"Midi Cotton Formal Dress with Round Neckline, Cap Sleeves, Layered bodice and Burgundy shade in a A-line silhouette.",A-line,Cotton,Round Neckline,Cap Sleeves,Midi,Layered,Burgundy,Formal Dress
"Silver Tulle Ball Gown dress featuring Square Neckline, Short Sleeves, and Embroidered finish. Perfect as a Prom Gown.",Ball Gown,Tulle,Square Neckline,Short Sleeves,Midi,Embroidered,Silver,Prom Gown
"Premium Cotton Prom Gown with Sweetheart, Cap Sleeves, Maxi cut, Corset details and elegant Burgundy finish in Empire style.",Empire,Cotton,Sweetheart,Cap Sleeves,Maxi,Corset,Burgundy,Prom Gown
"Elegant Ball Gown Tulle Evening Gown with V Neckline, Short Sleeves, Mini design, Ruched detailing in Blush.",Ball Gown,Tulle,V Neckline,Short Sleeves,Mini,Ruched,Blush,Evening Gown
"Burgundy Tulle Ball Gown dress featuring Off Shoulder, Three Quarter Sleeves, and Feathers finish. Perfect as a Wedding Dress.",Ball Gown,Tulle,Off Shoulder,Three Quarter Sleeves,Maxi,Feathers,Burgundy,Wedding Dress
"Premium Lace Prom Gown with Off Shoulder, Three Quarter Sleeves, Floor Length cut, None details and elegant Navy Blue finish in Mermaid style.",Mermaid,Lace,Off Shoulder,Three Quarter Sleeves,Floor Length,None,Navy Blue,Prom Gown
"Elegant Sheath Jersey Casual Dress with Square Neckline, Short Sleeves, Knee Length design, None detailing in Sage.",Sheath,Jersey,Square Neckline,Short Sleeves,Knee Length,None,Sage,Casual Dress
"Premium Lace Wedding Dress with Sweetheart, Strapless, Maxi cut, Embroidered details and elegant Blush finish in A-line style.",A-line,Lace,Sweetheart,Strapless,Maxi,Embroidered,Blush,Wedding Dress
"Mini Velvet Evening Gown with V Neckline, Three Quarter Sleeves, None bodice and Green shade in a Sheath silhouette.",Sheath,Velvet,V Neckline,Three Quarter Sleeves,Mini,None,Green,Evening Gown
"Maxi Velvet Prom Gown with Halter, Short Sleeves, Pleated bodice and Pink shade in a A-line silhouette.",A-line,Velvet,Halter,Short Sleeves,Maxi,Pleated,Pink,Prom Gown
"Silver Lace Empire dress featuring Round Neckline, Strapless, and None finish. Perfect as a Cocktail Dress.",Empire,Lace,Round Neckline,Strapless,Midi,None,Silver,Cocktail Dress
"Midi Lace Casual Dress with V Neckline, Puff Sleeves, Layered bodice and Black shade in a Mermaid silhouette.",Mermaid,Lace,V Neckline,Puff Sleeves,Midi,Layered,Black,Casual Dress
"Stylish Mermaid dress crafted from Cotton featuring V Neckline, Short Sleeves, Embroidered accents and White color for a Prom Gown.",Mermaid,Cotton,V Neckline,Short Sleeves,Floor Length,Embroidered,White,Prom Gown
"Premium Lace Evening Gown with Sweetheart, Three Quarter Sleeves, Maxi cut, None details and elegant Red finish in A-line style.",A-line,Lace,Sweetheart,Three Quarter Sleeves,Maxi,None,Red,Evening Gown
"Knee Length Jersey Prom Gown with Off Shoulder, Puff Sleeves, Corset bodice and Blush shade in a Empire silhouette.",Empire,Jersey,Off Shoulder,Puff Sleeves,Knee Length,Corset,Blush,Prom Gown
"Premium Crepe Casual Dress with Round Neckline, Short Sleeves, Knee Length cut, Embroidered details and elegant Emerald finish in Sheath style.",Sheath,Crepe,Round Neckline,Short Sleeves,Knee Length,Embroidered,Emerald,Casual Dress
"Elegant Empire Cotton Casual Dress with Off Shoulder, Sleeveless, Mini design, Pleated detailing in Royal Navy.",Empire,Cotton,Off Shoulder,Sleeveless,Mini,Pleated,Royal Navy,Casual Dress
"Premium Satin Cocktail Dress with Off Shoulder, Long Sleeves, Maxi cut, Sequins details and elegant Gold finish in Mermaid style.",Mermaid,Satin,Off Shoulder,Long Sleeves,Maxi,Sequins,Gold,Cocktail Dress
"Elegant Empire Crepe Casual Dress with Off Shoulder, Strapless, Maxi design, Feathers detailing in Royal Navy.",Empire,Crepe,Off Shoulder,Strapless,Maxi,Feathers,Royal Navy,Casual Dress
"Elegant Fit and Flare Jersey Prom Gown with Square Neckline, Cap Sleeves, Maxi design, Layered detailing in Dusty Blue.",Fit and Flare,Jersey,Square Neckline,Cap Sleeves,Maxi,Layered,Dusty Blue,Prom Gown
"Royal Navy Satin Fit and Flare dress featuring V Neckline, Cap Sleeves, and Embroidered finish. Perfect as a Cocktail Dress.",Fit and Flare,Satin,V Neckline,Cap Sleeves,Midi,Embroidered,Royal Navy,Cocktail Dress
"Elegant Empire Crepe Cocktail Dress with Sweetheart, Cap Sleeves, Knee Length design, Corset detailing in Sage.",Empire,Crepe,Sweetheart,Cap Sleeves,Knee Length,Corset,Sage,Cocktail Dress
"White Satin Sheath dress featuring V Neckline, Three Quarter Sleeves, and Pleated finish. Perfect as a Formal Dress.",Sheath,Satin,V Neckline,Three Quarter Sleeves,Floor Length,Pleated,White,Formal Dress
"Stylish Ball Gown dress crafted from Jersey featuring One Shoulder, Cap Sleeves, Feathers accents and Black color for a Cocktail Dress.",Ball Gown,Jersey,One Shoulder,Cap Sleeves,Knee Length,Feathers,Black,Cocktail Dress
"Premium Jersey Prom Gown with Boat Neck, Strapless, Maxi cut, Corset details and elegant Blush finish in A-line style.",A-line,Jersey,Boat Neck,Strapless,Maxi,Corset,Blush,Prom Gown
"Premium Crepe Bridesmaid Dress with Sweetheart, Short Sleeves, Midi cut, Sequins details and elegant Black finish in Fit and Flare style.",Fit and Flare,Crepe,Sweetheart,Short Sleeves,Midi,Sequins,Black,Bridesmaid Dress
"Premium Tulle Formal Dress with V Neckline, Sleeveless, Floor Length cut, Layered details and elegant Gold finish in A-line style.",A-line,Tulle,V Neckline,Sleeveless,Floor Length,Layered,Gold,Formal Dress
"Silver Chiffon Ball Gown dress featuring Round Neckline, Strapless, and Embroidered finish. Perfect as a Casual Dress.",Ball Gown,Chiffon,Round Neckline,Strapless,Knee Length,Embroidered,Silver,Casual Dress
"Stylish Sheath dress crafted from Satin featuring Off Shoulder, Puff Sleeves, Pleated accents and Silver color for a Casual Dress.",Sheath,Satin,Off Shoulder,Puff Sleeves,Floor Length,Pleated,Silver,Casual Dress
"Navy Blue Tulle Fit and Flare dress featuring Boat Neck, Short Sleeves, and Sequins finish. Perfect as a Wedding Dress.",Fit and Flare,Tulle,Boat Neck,Short Sleeves,Midi,Sequins,Navy Blue,Wedding Dress
"Premium Velvet Bridesmaid Dress with One Shoulder, Long Sleeves, Mini cut, Pleated details and elegant Sage finish in Fit and Flare style.",Fit and Flare,Velvet,One Shoulder,Long Sleeves,Mini,Pleated,Sage,Bridesmaid Dress
"Emerald Satin A-line dress featuring Off Shoulder, Puff Sleeves, and Beaded finish. Perfect as a Casual Dress.",A-line,Satin,Off Shoulder,Puff Sleeves,Midi,Beaded,Emerald,Casual Dress
"Premium Velvet Formal Dress with Sweetheart, Cap Sleeves, Floor Length cut, Corset details and elegant Silver finish in Mermaid style.",Mermaid,Velvet,Sweetheart,Cap Sleeves,Floor Length,Corset,Silver,Formal Dress
"Premium Velvet Prom Gown with Round Neckline, Short Sleeves, Midi cut, Embroidered details and elegant White finish in A-line style.",A-line,Velvet,Round Neckline,Short Sleeves,Midi,Embroidered,White,Prom Gown
"Knee Length Velvet Prom Gown with Boat Neck, Puff Sleeves, Ruched bodice and Royal Navy shade in a Ball Gown silhouette.",Ball Gown,Velvet,Boat Neck,Puff Sleeves,Knee Length,Ruched,Royal Navy,Prom Gown
"Mini Crepe Wedding Dress with Boat Neck, Strapless, Embroidered bodice and Burgundy shade in a Empire silhouette.",Empire,Crepe,Boat Neck,Strapless,Mini,Embroidered,Burgundy,Wedding Dress
"Stylish A-line dress crafted from Chiffon featuring Square Neckline, Strapless, Corset accents and Red color for a Prom Gown.",A-line,Chiffon,Square Neckline,Strapless,Knee Length,Corset,Red,Prom Gown
"Mini Jersey Casual Dress with V Neckline, Sleeveless, Beaded bodice and Gold shade in a Empire silhouette.",Empire,Jersey,V Neckline,Sleeveless,Mini,Beaded,Gold,Casual Dress
"Elegant Empire Lace Formal Dress with Halter, Short Sleeves, Mini design, Corset detailing in Emerald.",Empire,Lace,Halter,Short Sleeves,Mini,Corset,Emerald,Formal Dress
"Stylish Mermaid dress crafted from Cotton featuring Off Shoulder, Three Quarter Sleeves, Ruched accents and Green color for a Bridesmaid Dress.",Mermaid,Cotton,Off Shoulder,Three Quarter Sleeves,Mini,Ruched,Green,Bridesmaid Dress
"Blush Lace Empire dress featuring Off Shoulder, Strapless, and Beaded finish. Perfect as a Casual Dress.",Empire,Lace,Off Shoulder,Strapless,Knee Length,Beaded,Blush,Casual Dress
"Elegant Fit and Flare Tulle Formal Dress with Halter, Strapless, Knee Length design, Corset detailing in Red.",Fit and Flare,Tulle,Halter,Strapless,Knee Length,Corset,Red,Formal Dress
"Emerald Chiffon Sheath dress featuring One Shoulder, Short Sleeves, and Layered finish. Perfect as a Evening Gown.",Sheath,Chiffon,One Shoulder,Short Sleeves,Knee Length,Layered,Emerald,Evening Gown
"Midi Chiffon Casual Dress with Off Shoulder, Cap Sleeves, Corset bodice and Dusty Blue shade in a Ball Gown silhouette.",Ball Gown,Chiffon,Off Shoulder,Cap Sleeves,Midi,Corset,Dusty Blue,Casual Dress
"Mini Jersey Bridesmaid Dress with Square Neckline, Sleeveless, Corset bodice and Red shade in a Mermaid silhouette.",Mermaid,Jersey,Square Neckline,Sleeveless,Mini,Corset,Red,Bridesmaid Dress
"Elegant A-line Satin Bridesmaid Dress with Halter, Long Sleeves, Midi design, Feathers detailing in Silver.",A-line,Satin,Halter,Long Sleeves,Midi,Feathers,Silver,Bridesmaid Dress
"Premium Cotton Formal Dress with Boat Neck, Sleeveless, Maxi cut, Pleated details and elegant Gold finish in Sheath style.",Sheath,Cotton,Boat Neck,Sleeveless,Maxi,Pleated,Gold,Formal Dress
"Elegant Fit and Flare Cotton Evening Gown with Square Neckline, Cap Sleeves, Mini design, Ruched detailing in Silver.",Fit and Flare,Cotton,Square Neckline,Cap Sleeves,Mini,Ruched,Silver,Evening Gown
"Maxi Velvet Prom Gown with Boat Neck, Three Quarter Sleeves, Ruched bodice and Blush shade in a Fit and Flare silhouette.",Fit and Flare,Velvet,Boat Neck,Three Quarter Sleeves,Maxi,Ruched,Blush,Prom Gown
"Maxi Lace Bridesmaid Dress with Off Shoulder, Cap Sleeves, Beaded bodice and Silver shade in a Empire silhouette.",Empire,Lace,Off Shoulder,Cap Sleeves,Maxi,Beaded,Silver,Bridesmaid Dress
"Premium Chiffon Bridesmaid Dress with Boat Neck, Long Sleeves, Knee Length cut, Feathers details and elegant Green finish in Sheath style.",Sheath,Chiffon,Boat Neck,Long Sleeves,Knee Length,Feathers,Green,Bridesmaid Dress
"Gold Tulle Fit and Flare dress featuring One Shoulder, Cap Sleeves, and Sequins finish. Perfect as a Wedding Dress.",Fit and Flare,Tulle,One Shoulder,Cap Sleeves,Maxi,Sequins,Gold,Wedding Dress
"White Satin Fit and Flare dress featuring Boat Neck, Puff Sleeves, and Ruched finish. Perfect as a Formal Dress.",Fit and Flare,Satin,Boat Neck,Puff Sleeves,Floor Length,Ruched,White,Formal Dress
"Black Velvet Fit and Flare dress featuring Off Shoulder, Strapless, and Beaded finish. Perfect as a Casual Dress.",Fit and Flare,Velvet,Off Shoulder,Strapless,Knee Length,Beaded,Black,Casual Dress
"Stylish Sheath dress crafted from Satin featuring One Shoulder, Cap Sleeves, Sequins accents and Pink color for a Prom Gown.",Sheath,Satin,One Shoulder,Cap Sleeves,Floor Length,Sequins,Pink,Prom Gown
"Green Jersey Sheath dress featuring Off Shoulder, Short Sleeves, and Embroidered finish. Perfect as a Wedding Dress.",Sheath,Jersey,Off Shoulder,Short Sleeves,Mini,Embroidered,Green,Wedding Dress
"Stylish Ball Gown dress crafted from Crepe featuring V Neckline, Puff Sleeves, Embroidered accents and Sage color for a Cocktail Dress.",Ball Gown,Crepe,V Neckline,Puff Sleeves,Knee Length,Embroidered,Sage,Cocktail Dress
"Stylish Fit and Flare dress crafted from Tulle featuring One Shoulder, Puff Sleeves, Feathers accents and Dusty Blue color for a Bridesmaid Dress.",Fit and Flare,Tulle,One Shoulder,Puff Sleeves,Floor Length,Feathers,Dusty Blue,Bridesmaid Dress
"Premium Crepe Formal Dress with One Shoulder, Long Sleeves, Knee Length cut, Corset details and elegant Green finish in Ball Gown style.",Ball Gown,Crepe,One Shoulder,Long Sleeves,Knee Length,Corset,Green,Formal Dress
"Mini Cotton Evening Gown with Boat Neck, Cap Sleeves, Corset bodice and Royal Navy shade in a Sheath silhouette.",Sheath,Cotton,Boat Neck,Cap Sleeves,Mini,Corset,Royal Navy,Evening Gown
"Pink Satin Mermaid dress featuring Sweetheart, Short Sleeves, and Feathers finish. Perfect as a Cocktail Dress.",Mermaid,Satin,Sweetheart,Short Sleeves,Knee Length,Feathers,Pink,Cocktail Dress
"Blush Jersey A-line dress featuring Halter, Long Sleeves, and Layered finish. Perfect as a Casual Dress.",A-line,Jersey,Halter,Long Sleeves,Floor Length,Layered,Blush,Casual Dress
